X,Y,OBJECTID,Geocodigo,Municipio,Municipio_ou_referencia_arranjo,Polos_de_Alta_Complexidade,Polos_Baixa_media_complexidade
-56.729736,-2.62201399991363,21,1303403,PARINTINS,PARINTINS,,polo de baixa e media complexidade de serviços de saúde
-67.946631,-3.10343299989784,22,1303700,SANTO ANTONIO DO ICA,SANTO ANTONIO DO ICA,,polo de baixa e media complexidade de serviços de saúde
-69.942908,-4.22886699986102,23,1304062,TABATINGA,TABATINGA,,polo de baixa e media complexidade de serviços de saúde
-64.707025,-3.34592799988992,24,1304203,TEFE,TEFE,,polo de baixa e media complexidade de serviços de saúde
-60.672461,2.8207249999071,25,1400100,BOA VISTA,BOA VISTA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-60.424772,0.947646999968715,26,1400472,RORAINOPOLIS,RORAINOPOLIS,,polo de baixa e media complexidade de serviços de saúde
-52.206035,-3.2053289998944,27,1500602,ALTAMIRA,ALTAMIRA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-49.672753,-2.79196199990808,28,1501204,BAIAO,BAIAO,,polo de baixa e media complexidade de serviços de saúde
-48.505212,-1.45541899995197,29,1501402,BELEM,BELEM,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-46.765603,-1.05541599996512,30,1501709,BRAGANCA,BRAGANCA,,polo de baixa e media complexidade de serviços de saúde
-50.483156,-1.69140799994422,31,1501808,BREVES,BREVES,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-49.495447,-2.24435999992597,32,1502103,CAMETA,CAMETA,,polo de baixa e media complexidade de serviços de saúde
-47.178368,-1.19282799996063,33,1502202,CAPANEMA,CAPANEMA,,polo de baixa e media complexidade de serviços de saúde
-47.063843,-1.74452299994252,34,1502301,CAPITAO POCO,CAPITAO POCO,,polo de baixa e media complexidade de serviços de saúde
-47.92643,-1.29405299995736,35,1502400,CASTANHAL,CASTANHAL,,polo de baixa e media complexidade de serviços de saúde
-55.98141,-4.27448099985953,36,1503606,ITAITUBA,ITAITUBA,,polo de baixa e media complexidade de serviços de saúde
-49.13562,-5.34919199982463,37,1504208,MARABA,MARABA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-47.354905,-2.99562099990142,38,1505502,PARAGOMINAS,PARAGOMINAS,,polo de baixa e media complexidade de serviços de saúde
-49.905519,-6.06650699980143,39,1505536,PARAUAPEBAS,PARAUAPEBAS,,polo de baixa e media complexidade de serviços de saúde
-50.038747,-8.04100599973827,40,1506138,REDENCAO,REDENCAO,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-47.357578,-0.614669999979718,41,1506203,SALINOPOLIS,SALINOPOLIS,,polo de baixa e media complexidade de serviços de saúde
-54.710865,-2.4169379999204,42,1506807,SANTAREM,SANTAREM,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-48.567206,-6.39536999979085,43,1507458,SAO GERALDO DO ARAGUAIA,SAO GERALDO DO ARAGUAIA,,polo de baixa e media complexidade de serviços de saúde
-49.670429,-3.76712399987615,44,1508100,TUCURUI,TUCURUI,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-53.73909,-3.71625699987777,45,1508159,URUARA,URUARA,,polo de baixa e media complexidade de serviços de saúde
-48.144362,-0.85177699997194,46,1508209,VIGIA,VIGIA,,polo de baixa e media complexidade de serviços de saúde
-49.94452,-7.10586699976805,47,1508407,XINGUARA,XINGUARA,,polo de baixa e media complexidade de serviços de saúde
-52.520341,-0.841589999972188,48,1600279,LARANJAL DO JARI,LARANJAL DO JARI,,subpolo de baixa e media complexidade de serviços de saúde
-51.051696,0.036813999998778,49,1600303,MACAPA,MACAPA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-49.82712,-12.9311859995878,50,1702000,ARAGUACU,ARAGUACU,,polo de baixa e media complexidade de serviços de saúde
-48.2099,-7.18983399976539,51,1702109,ARAGUAINA,ARAGUAINA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-49.064519,-7.65778999975044,52,1702307,ARAPOEMA,ARAPOEMA,,polo de baixa e media complexidade de serviços de saúde
-46.937424,-12.9320259995879,53,1702406,ARRAIAS,ARRAIAS,,polo de baixa e media complexidade de serviços de saúde
-47.88361,-5.46870499982068,54,1702554,AUGUSTINOPOLIS,AUGUSTINOPOLIS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-48.483504,-8.05578099973785,55,1705508,COLINAS DO TOCANTINS,COLINAS DO TOCANTINS,,polo de baixa e media complexidade de serviços de saúde
-46.819841,-11.626286999627,56,1707009,DIANOPOLIS,DIANOPOLIS,,polo de baixa e media complexidade de serviços de saúde
-48.510986,-8.83660299971316,57,1709302,GUARAI,GUARAI,,polo de baixa e media complexidade de serviços de saúde
-49.063332,-11.726724999624,58,1709500,GURUPI,GURUPI,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-48.392107,-9.56805399969032,59,1713205,MIRACEMA DO TOCANTINS,MIRACEMA DO TOCANTINS,,polo de baixa e media complexidade de serviços de saúde
-47.727258,-11.7053569996247,60,1714203,NATIVIDADE,NATIVIDADE,,polo de baixa e media complexidade de serviços de saúde
-48.886483,-10.1779249996714,61,1716109,PARAISO DO TOCANTINS,PARAISO DO TOCANTINS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-48.176879,-8.97221399970888,62,1716505,PEDRO AFONSO,PEDRO AFONSO,,polo de baixa e media complexidade de serviços de saúde
-48.761183,-8.72978999971652,63,1716703,COLMEIA,COLMEIA,,polo de baixa e media complexidade de serviços de saúde
-48.413023,-10.7072569996551,64,1718204,PORTO NACIONAL,PORTO NACIONAL,,polo de baixa e media complexidade de serviços de saúde
-48.333656,-10.1845019996712,65,1721000,PALMAS,PALMAS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-47.41674,-6.33013399979292,66,1721208,TOCANTINOPOLIS,TOCANTINOPOLIS,,polo de baixa e media complexidade de serviços de saúde
-48.537007,-6.41136399979032,67,1722107,XAMBIOA,XAMBIOA,,subpolo de baixa e media complexidade de serviços de saúde
-47.501257,-4.95209999983747,68,2100055,ACAILANDIA,ACAILANDIA,,polo de baixa e media complexidade de serviços de saúde
-45.931531,-9.10844699970462,69,2100501,ALTO PARNAIBA,ALTO PARNAIBA,,subpolo de baixa e media complexidade de serviços de saúde
-44.775534,-4.22935999986095,70,2101202,BACABAL,BACABAL,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-46.040212,-7.53314799975434,71,2101400,BALSAS,BALSAS,,polo de baixa e media complexidade de serviços de saúde
-45.24638,-5.50816099981944,72,2101608,BARRA DO CORDA,BARRA DO CORDA,,polo de baixa e media complexidade de serviços de saúde
-42.827102,-2.75020499990943,73,2101707,BARREIRINHAS,BARREIRINHAS,,polo de baixa e media complexidade de serviços de saúde
-46.020833,-1.20249999996034,74,2102903,CARUTAPERA,CARUTAPERA,,polo de baixa e media complexidade de serviços de saúde
-43.363897,-4.86215599984045,75,2103000,CAXIAS,CAXIAS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-43.356667,-3.74083299987699,76,2103208,CHAPADINHA,CHAPADINHA,,polo de baixa e media complexidade de serviços de saúde
-43.887603,-4.45285599985374,77,2103307,CODO,CODO,,polo de baixa e media complexidade de serviços de saúde
-43.014363,-4.2557649998601,78,2103406,COELHO NETO,COELHO NETO,,polo de baixa e media complexidade de serviços de saúde
-44.249651,-6.02562199980274,79,2103505,COLINAS,COLINAS,,polo de baixa e media complexidade de serviços de saúde
-44.127609,-4.12827399986425,80,2103604,COROATA,COROATA,,polo de baixa e media complexidade de serviços de saúde
-44.875351,-1.82323099993993,81,2103703,CURURUPU,CURURUPU,,polo de baixa e media complexidade de serviços de saúde
-45.8871,-2.13030999992982,82,2104677,GOVERNADOR NUNES FREIRE,GOVERNADOR NUNES FREIRE,,polo de baixa e media complexidade de serviços de saúde
-46.143315,-5.8169239998094,83,2104800,GRAJAU,GRAJAU,,polo de baixa e media complexidade de serviços de saúde
-43.461631,-2.59712299991448,84,2105005,HUMBERTO DE CAMPOS,HUMBERTO DE CAMPOS,,polo de baixa e media complexidade de serviços de saúde
-47.49006,-5.52731699981882,85,2105302,IMPERATRIZ,IMPERATRIZ,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-45.12721,-4.56670199985005,86,2105708,LAGO DA PEDRA,LAGO DA PEDRA,,polo de baixa e media complexidade de serviços de saúde
-44.551667,-3.63111099988049,87,2106631,MATOES DO NORTE,MATOES DO NORTE,Polo de alta complexidade de serviços de saúde,subpolo de baixa e media complexidade de serviços de saúde
-44.3608,-6.37203999979155,88,2106706,MIRADOR,MIRADOR,,polo de baixa e media complexidade de serviços de saúde
-44.041972,-2.86580799990554,89,2107100,MORROS,MORROS,,polo de baixa e media complexidade de serviços de saúde
-44.603383,-4.57007799984994,90,2108207,PEDREIRAS,PEDREIRAS,,polo de baixa e media complexidade de serviços de saúde
-44.339448,-4.37814799985618,91,2108454,PERITORO,PERITORO,,polo de baixa e media complexidade de serviços de saúde
-45.08392,-2.52274099991679,92,2108603,PINHEIRO,PINHEIRO,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-47.407267,-6.33840799979268,93,2109007,PORTO FRANCO,PORTO FRANCO,,subpolo de baixa e media complexidade de serviços de saúde
-44.491388,-5.28399599982667,94,2109106,PRESIDENTE DUTRA,PRESIDENTE DUTRA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-45.382472,-3.66641999987943,95,2109908,SANTA INES,SANTA INES,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-44.358578,-4.86901399984019,96,2110302,SANTO ANTONIO DOS LOPES,SANTO ANTONIO DOS LOPES,,polo de baixa e media complexidade de serviços de saúde
-43.701883,-6.49868299978748,97,2111102,SAO JOAO DOS PATOS,SAO JOAO DOS PATOS,,polo de baixa e media complexidade de serviços de saúde
-44.297919,-2.5318859999166,98,2111300,SAO LUIS,SAO LUIS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-44.627889,-4.56923899984993,99,2112233,TRIZIDELA DO VALE,TRIZIDELA DO VALE,,subpolo de baixa e media complexidade de serviços de saúde
-44.6476,-5.25750999982755,100,2112308,TUNTUM,TUNTUM,Polo de alta complexidade de serviços de saúde,subpolo de baixa e media complexidade de serviços de saúde
-43.403056,-3.20749999989437,101,2112605,URBANO SANTOS,URBANO SANTOS,,polo de baixa e media complexidade de serviços de saúde
-45.246018,-4.29261599985885,102,2113009,VITORINO FREIRE,VITORINO FREIRE,,polo de baixa e media complexidade de serviços de saúde
-45.653794,-3.27592799989211,103,2114007,ZE DOCA,ZE DOCA,,polo de baixa e media complexidade de serviços de saúde
-42.636383,-5.89269199980699,104,2200202,AGUA BRANCA,AGUA BRANCA,,polo de baixa e media complexidade de serviços de saúde
-42.852853,-6.24481999979569,105,2200509,AMARANTE,AMARANTE,,polo de baixa e media complexidade de serviços de saúde
-42.295611,-4.24680399986039,106,2201200,BARRAS,BARRAS,,polo de baixa e media complexidade de serviços de saúde
-44.359757,-9.07227799970567,107,2201903,BOM JESUS,BOM JESUS,,polo de baixa e media complexidade de serviços de saúde
-42.166875,-4.82547799984153,108,2202208,CAMPO MAIOR,CAMPO MAIOR,,polo de baixa e media complexidade de serviços de saúde
-42.944335,-8.11085899973609,109,2202307,CANTO DO BURITI,CANTO DO BURITI,,polo de baixa e media complexidade de serviços de saúde
-41.549023,-5.3222429998255,110,2202604,CASTELO DO PIAUI,CASTELO DO PIAUI,,polo de baixa e media complexidade de serviços de saúde
-45.178598,-10.4354269996634,111,2202901,CORRENTE,CORRENTE,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-44.30326,-10.0355329996758,112,2203206,CURIMATA,CURIMATA,,polo de baixa e media complexidade de serviços de saúde
-42.236037,-3.89785199987185,113,2203701,ESPERANTINA,ESPERANTINA,,polo de baixa e media complexidade de serviços de saúde
-43.021122,-6.77419799977863,114,2203909,FLORIANO,FLORIANO,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-42.372352,-3.4597589998862,115,2205805,LUZILANDIA,LUZILANDIA,,polo de baixa e media complexidade de serviços de saúde
-42.610895,-5.56204899981772,116,2206407,MONSENHOR GIL,MONSENHOR GIL,,polo de baixa e media complexidade de serviços de saúde
-42.13175,-7.01693799977088,117,2207009,OEIRAS,OEIRAS,,polo de baixa e media complexidade de serviços de saúde
-41.756707,-2.916910999904,118,2207702,PARNAIBA,PARNAIBA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-41.148141,-8.14094399973511,119,2207801,PAULISTANA,PAULISTANA,,polo de baixa e media complexidade de serviços de saúde
-41.458883,-4.4257569998546,120,2207900,PEDRO II,PEDRO II,,polo de baixa e media complexidade de serviços de saúde
-41.465704,-7.08504899976875,121,2208007,PICOS,PICOS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-41.710527,-3.93470399987065,122,2208304,PIRACURUCA,PIRACURUCA,,polo de baixa e media complexidade de serviços de saúde
-41.777271,-4.27441199985948,123,2208403,PIRIPIRI,PIRIPIRI,,polo de baixa e media complexidade de serviços de saúde
-42.247112,-8.35930999972822,124,2210003,SAO JOAO DO PIAUI,SAO JOAO DO PIAUI,,polo de baixa e media complexidade de serviços de saúde
-41.321061,-5.50304199981962,125,2210409,SAO MIGUEL DO TAPUIO,SAO MIGUEL DO TAPUIO,,polo de baixa e media complexidade de serviços de saúde
-42.7203,-5.92729199980594,126,2210508,SAO PEDRO DO PIAUI,SAO PEDRO DO PIAUI,,polo de baixa e media complexidade de serviços de saúde
-42.688835,-9.0147479997076,127,2210607,SAO RAIMUNDO NONATO,SAO RAIMUNDO NONATO,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-41.910204,-7.86045099974403,128,2210805,SIMPLICIO MENDES,SIMPLICIO MENDES,,polo de baixa e media complexidade de serviços de saúde
-42.817269,-5.09068799983299,129,2211001,TERESINA,TERESINA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-42.865209,-4.58550499984938,130,2211100,UNIAO,UNIAO,,polo de baixa e media complexidade de serviços de saúde
-44.555333,-7.22994899976401,131,2211209,URUCUI,URUCUI,,subpolo de baixa e media complexidade de serviços de saúde
-41.735529,-6.4022269997906,132,2211308,VALENCA DO PIAUI,VALENCA DO PIAUI,,polo de baixa e media complexidade de serviços de saúde
-37.772753,-4.56706599985004,133,2301109,ARACATI,ARACATI,,polo de baixa e media complexidade de serviços de saúde
-38.809441,-4.3703939998564,134,2301208,ARACOIABA,ARACOIABA,,polo de baixa e media complexidade de serviços de saúde
-39.302316,-7.3071719997616,135,2301901,BARBALHA,BARBALHA,Subpolo de alta complexidade de serviços de saúde,subpolo de baixa e media complexidade de serviços de saúde
-38.880021,-4.33120499985771,136,2302107,BATURITE,BATURITE,,polo de baixa e media complexidade de serviços de saúde
-38.985514,-7.49163799975571,137,2302503,BREJO SANTO,BREJO SANTO,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-40.847528,-2.90096699990442,138,2302602,CAMOCIM,CAMOCIM,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-40.374317,-7.07446599976897,139,2302701,CAMPOS SALES,CAMPOS SALES,,polo de baixa e media complexidade de serviços de saúde
-39.316129,-4.35415999985693,140,2302800,CANINDE,CANINDE,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-38.239686,-4.13143399986412,141,2303501,CASCAVEL,CASCAVEL,,polo de baixa e media complexidade de serviços de saúde
-38.656561,-3.73395999987723,142,2303709,CAUCAIA,CAUCAIA,,subpolo de baixa e media complexidade de serviços de saúde
-40.6684,-5.17695099983011,143,2304103,CRATEUS,CRATEUS,,polo de baixa e media complexidade de serviços de saúde
-39.40839,-7.23175299976401,144,2304202,CRATO,CRATO,,subpolo de baixa e media complexidade de serviços de saúde
-38.445122,-3.88697299987222,145,2304285,EUSEBIO,EUSEBIO,,subpolo de baixa e media complexidade de serviços de saúde
-38.525197,-3.72426499987752,146,2304400,FORTALEZA,FORTALEZA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-40.752633,-4.16245099986318,147,2305001,GUARACIABA DO NORTE,GUARACIABA DO NORTE,,polo de baixa e media complexidade de serviços de saúde
-38.863085,-6.40303099979059,148,2305407,ICO,ICO,,polo de baixa e media complexidade de serviços de saúde
-39.299906,-6.36055499979193,149,2305506,IGUATU,IGUATU,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-40.710452,-4.32326799985789,150,2305803,IPU,IPU,,polo de baixa e media complexidade de serviços de saúde
-39.583482,-3.49943599988488,151,2306405,ITAPIPOCA,ITAPIPOCA,,polo de baixa e media complexidade de serviços de saúde
-39.316993,-7.21076599976468,152,2307304,JUAZEIRO DO NORTE,JUAZEIRO DO NORTE,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-38.099095,-5.15023899983107,153,2307601,LIMOEIRO DO NORTE,LIMOEIRO DO NORTE,,polo de baixa e media complexidade de serviços de saúde
-38.624419,-3.87696399987246,154,2307650,MARACANAU,MARACANAU,,subpolo de baixa e media complexidade de serviços de saúde
-38.685851,-3.89186899987197,155,2307700,MARANGUAPE,MARANGUAPE,,subpolo de baixa e media complexidade de serviços de saúde
-38.467022,-4.17054099986296,156,2309607,PACAJUS,PACAJUS,,polo de baixa e media complexidade de serviços de saúde
-39.011745,-4.96369999983713,157,2311306,QUIXADA,QUIXADA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-39.294354,-5.19840499982948,158,2311405,QUIXERAMOBIM,QUIXERAMOBIM,,polo de baixa e media complexidade de serviços de saúde
-38.729571,-4.22295799986124,159,2311603,REDENCAO,REDENCAO,,subpolo de baixa e media complexidade de serviços de saúde
-37.975431,-4.93973799983787,160,2311801,RUSSAS,RUSSAS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-40.153508,-4.3332709998576,161,2312205,SANTA QUITERIA,SANTA QUITERIA,,polo de baixa e media complexidade de serviços de saúde
-40.348668,-3.6880379998786,162,2312908,SOBRAL,SOBRAL,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-40.292625,-6.00299899980346,163,2313302,TAUA,TAUA,,polo de baixa e media complexidade de serviços de saúde
-40.991706,-3.72267399987755,164,2313401,TIANGUA,TIANGUA,,polo de baixa e media complexidade de serviços de saúde
-36.906773,-5.57380299981733,165,2400208,ACU,ACU,,polo de baixa e media complexidade de serviços de saúde
-37.799307,-5.6650939998144,166,2401008,APODI,APODI,,polo de baixa e media complexidade de serviços de saúde
-37.09426,-6.46267699978866,167,2402006,CAICO,CAICO,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-35.129857,-6.38087099979132,168,2402204,CANGUARETAMA,CANGUARETAMA,,polo de baixa e media complexidade de serviços de saúde
-35.422964,-5.63661099981532,169,2402600,CEARA-MIRIM,CEARA-MIRIM,,polo de baixa e media complexidade de serviços de saúde
-36.515076,-6.26285699979504,170,2403103,CURRAIS NOVOS,CURRAIS NOVOS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-35.26546,-5.92449699980592,171,2403251,PARNAMIRIM,PARNAMIRIM,,subpolo de baixa e media complexidade de serviços de saúde
-35.207628,-6.26711899979494,172,2404200,GOIANINHA,GOIANINHA,,polo de baixa e media complexidade de serviços de saúde
-36.317672,-5.10713899983248,173,2404507,GUAMARE,GUAMARE,,polo de baixa e media complexidade de serviços de saúde
-35.815782,-5.53839299981847,174,2405801,JOAO CAMARA,JOAO CAMARA,,polo de baixa e media complexidade de serviços de saúde
-37.341204,-5.19254099982969,175,2408003,MOSSORO,MOSSORO,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-35.208106,-5.78449499981052,176,2408102,NATAL,NATAL,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-35.432306,-6.48078899978811,177,2408300,NOVA CRUZ,NOVA CRUZ,,polo de baixa e media complexidade de serviços de saúde
-36.658135,-6.68613599978142,178,2408904,PARELHAS,PARELHAS,,polo de baixa e media complexidade de serviços de saúde
-38.203506,-6.11267099979985,179,2409407,PAU DOS FERROS,PAU DOS FERROS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-36.019515,-6.22981599979619,180,2411205,SANTA CRUZ,SANTA CRUZ,,polo de baixa e media complexidade de serviços de saúde
-35.477323,-6.30883499979355,181,2411502,SANTO ANTONIO,SANTO ANTONIO,,polo de baixa e media complexidade de serviços de saúde
-35.237095,-6.07416399980117,182,2412203,SAO JOSE DE MIPIBU,SAO JOSE DE MIPIBU,,subpolo de baixa e media complexidade de serviços de saúde
-38.498188,-6.21260599979671,183,2412500,SAO MIGUEL,SAO MIGUEL,,polo de baixa e media complexidade de serviços de saúde
-35.764441,-5.89442299980699,184,2412609,SAO PAULO DO POTENGI,SAO PAULO DO POTENGI,,polo de baixa e media complexidade de serviços de saúde
-36.129133,-7.48092799975603,185,2502508,BOQUEIRAO,BOQUEIRAO,,subpolo de baixa e media complexidade de serviços de saúde
-38.558864,-6.88772499977497,186,2503704,CAJAZEIRAS,CAJAZEIRAS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-35.889167,-7.22194999976428,187,2504009,CAMPINA GRANDE,CAMPINA GRANDE,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-37.746042,-6.34304199979249,188,2504306,CATOLE DO ROCHA,CATOLE DO ROCHA,,polo de baixa e media complexidade de serviços de saúde
-38.502417,-7.56008899975357,189,2504405,CONCEICAO,CONCEICAO,,polo de baixa e media complexidade de serviços de saúde
-36.151972,-6.48551699978789,190,2505105,CUITE,CUITE,,subpolo de baixa e media complexidade de serviços de saúde
-35.489158,-6.85305799977607,191,2506301,GUARABIRA,GUARABIRA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-38.149125,-7.30581699976166,192,2507002,ITAPORANGA,ITAPORANGA,,polo de baixa e media complexidade de serviços de saúde
-34.890006,-7.1153389997677,193,2507507,JOAO PESSOA,JOAO PESSOA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-35.120197,-6.83570799977665,194,2508901,MAMANGUAPE,MAMANGUAPE,,polo de baixa e media complexidade de serviços de saúde
-37.125928,-7.89149699974304,195,2509701,MONTEIRO,MONTEIRO,,polo de baixa e media complexidade de serviços de saúde
-37.276756,-7.02640799977054,196,2510808,PATOS,PATOS,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-37.928558,-7.19877799976509,197,2511301,PIANCO,PIANCO,,polo de baixa e media complexidade de serviços de saúde
-36.351183,-6.5087749997872,198,2511400,PICUI,PICUI,,polo de baixa e media complexidade de serviços de saúde
-37.798544,-6.77137199977875,199,2512101,POMBAL,POMBAL,,polo de baixa e media complexidade de serviços de saúde
-37.994414,-7.735182999748,200,2512309,PRINCESA ISABEL,PRINCESA ISABEL,,polo de baixa e media complexidade de serviços de saúde
-35.230231,-7.09619699976838,201,2515302,SAPE,SAPE,,polo de baixa e media complexidade de serviços de saúde
-36.660619,-7.483941999756,202,2515500,SERRA BRANCA,SERRA BRANCA,,polo de baixa e media complexidade de serviços de saúde
-35.655919,-6.76260299977906,203,2516003,SOLANEA,SOLANEA,,polo de baixa e media complexidade de serviços de saúde
-38.229022,-6.75869199977911,204,2516201,SOUSA,SOUSA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-36.879094,-7.67206399974998,205,2516300,SUME,SUME,,polo de baixa e media complexidade de serviços de saúde
-36.824314,-7.21121099976463,206,2516508,TAPEROA,TAPEROA,,polo de baixa e media complexidade de serviços de saúde
-37.638404,-7.75017499974754,207,2600104,AFOGADOS DA INGAZEIRA,AFOGADOS DA INGAZEIRA,Polo de alta complexidade de serviços de saúde,polo de baixa e media complexidade de serviços de saúde
-40.498129,-7.57709999975299,208,2601102,ARARIPINA,ARARIPINA,,subpolo de baixa e media complexidade de serviços de saúde
-37.0535,-8.41927999972629,209,2601201,ARCOVERDE,ARCOVERDE,,polo de baixa e media complexidade de serviços de saúde
-35.194229,-8.81605499971384,210,2601409,BARREIROS,BARREIROS,,polo de baixa e media complexidade de serviços de saúde
